env,baseline,n_seeds,final_mean_return,final_ci95_low,final_ci95_high,final_std_return
CartPole-v1,none,3,494.2,482.6000000000001,500.0,8.20243866176394
CartPole-v1,avg,3,494.26666666666665,482.8,500.0,8.108157757605738
CartPole-v1,value,3,497.73333333333335,493.2,500.0,3.205550741379021
CartPole-v1,gae,3,381.73333333333335,233.6,491.2,108.66085874049689
LunarLander-v3,none,3,-27.100177315742656,-46.39726846340272,-13.541483175064664,14.013625676120805
LunarLander-v3,avg,3,-77.69443500269027,-88.92771133208369,-68.73825313165499,8.398111890416349
LunarLander-v3,value,3,-70.00899895218916,-88.63361564114587,-49.14143588370876,16.20043562880322
LunarLander-v3,gae,3,-130.11731098630466,-157.35029094700872,-104.4572085762289,21.62213369848094
