env,baseline,seed,step,avg_return,std_return
CartPole-v1,avg,2,100000,187.2,7.756287771866127
CartPole-v1,avg,2,110000,463.2,73.6
CartPole-v1,avg,2,120000,500.0,0.0
CartPole-v1,avg,2,130000,500.0,0.0
CartPole-v1,avg,2,140000,488.0,24.0
CartPole-v1,avg,2,150000,500.0,0.0
CartPole-v1,avg,2,160000,500.0,0.0
CartPole-v1,avg,2,170000,500.0,0.0
CartPole-v1,avg,2,180000,471.8,56.4
CartPole-v1,avg,2,190000,477.6,44.800000000000004
CartPole-v1,avg,2,200000,500.0,0.0
CartPole-v1,value,0,10000,73.8,11.05260150371848
CartPole-v1,value,0,20000,380.4,135.32568122865666
CartPole-v1,value,0,30000,405.6,63.77021248200449
CartPole-v1,value,0,40000,338.2,74.81550641411177
CartPole-v1,value,0,50000,249.2,79.98849917331866
CartPole-v1,value,0,60000,439.0,99.39416481866529
CartPole-v1,value,0,70000,408.8,80.88362009702583
CartPole-v1,value,0,80000,419.6,67.55915926060655
CartPole-v1,value,0,90000,485.6,17.408044117591157
CartPole-v1,value,0,100000,499.8,0.4
CartPole-v1,value,0,110000,500.0,0.0
CartPole-v1,value,0,120000,500.0,0.0
CartPole-v1,value,0,130000,496.4,7.2
CartPole-v1,value,0,140000,495.0,10.0
CartPole-v1,value,0,150000,500.0,0.0
CartPole-v1,value,0,160000,500.0,0.0
CartPole-v1,value,0,170000,500.0,0.0
CartPole-v1,value,0,180000,474.8,50.400000000000006
CartPole-v1,value,0,190000,500.0,0.0
CartPole-v1,value,0,200000,500.0,0.0
CartPole-v1,value,1,10000,48.2,13.84774349849101
CartPole-v1,value,1,20000,375.4,153.15299540002474
CartPole-v1,value,1,30000,440.6,72.9482008002939
CartPole-v1,value,1,40000,366.8,114.85190464245684
CartPole-v1,value,1,50000,500.0,0.0
CartPole-v1,value,1,60000,436.4,78.15011196409127
CartPole-v1,value,1,70000,472.6,54.8
CartPole-v1,value,1,80000,500.0,0.0
CartPole-v1,value,1,90000,461.6,47.97749472408913
CartPole-v1,value,1,100000,483.4,33.2
CartPole-v1,value,1,110000,493.0,14.0
CartPole-v1,value,1,120000,500.0,0.0
