n,mean,median,iqm,std,se,ci_low,ci_high,group
3,236.4666666666667,224.0,236.4666666666667,47.63951441118323,27.504686469359694,182.5574811867217,290.3758521466117,low_0_1_2
3,253.93333333333337,268.3,253.93333333333337,33.72867227350246,19.473258016515313,215.76574762096334,292.1009190457034,low_10_11_12
3,252.46666666666667,220.9,252.46666666666667,116.98890260761202,67.54357441270372,120.08126081776737,384.85207251556596,low_20_21_22
10,186.79000000000002,185.89999999999998,185.70000000000002,54.30994281794899,17.17431188982222,153.12834869594846,220.45165130405158,medium_0_to_9
30,206.0,207.6,202.59375,55.723615992775855,10.173693821666323,186.059560109534,225.940439890466,large_0_to_29
