env,algorithm,seed,step,avg_return,std_return
LunarLander-v3,actor_critic_gae,0,1000,-206.1685008737773,85.72318820618788
LunarLander-v3,actor_critic_gae,0,2000,-388.14819299951887,186.8973726910626
LunarLander-v3,actor_critic_gae,0,3000,-348.11773514845913,192.16077745036569
LunarLander-v3,actor_critic_gae,0,4000,-398.0041497094061,226.03075258852175
LunarLander-v3,actor_critic_gae,0,5000,-531.1192213958594,127.75344140118399
LunarLander-v3,actor_critic_gae,0,6000,-475.72081689065163,63.482115677306844
LunarLander-v3,actor_critic_gae,0,7000,-478.21957471253825,74.44621162250317
LunarLander-v3,actor_critic_gae,0,8000,-477.0267758363781,110.61128995746184
LunarLander-v3,actor_critic_gae,0,9000,-416.4185287521652,230.7831312558848
LunarLander-v3,actor_critic_gae,0,10000,-404.6653520305132,235.85768881135883
LunarLander-v3,actor_critic_gae,0,11000,-181.73349310666853,149.07338041116608
LunarLander-v3,actor_critic_gae,0,12000,-367.0007833747046,154.91026933353177
LunarLander-v3,actor_critic_gae,0,13000,-285.28432122122393,106.12390906835856
LunarLander-v3,actor_critic_gae,0,14000,-232.31404438296937,85.78997463194956
LunarLander-v3,actor_critic_gae,0,15000,-192.22413239966994,107.43156618978375
LunarLander-v3,actor_critic_gae,0,16000,-192.03737661665156,67.54295049632037
LunarLander-v3,actor_critic_gae,0,17000,-178.5339139599615,109.72722610978344
LunarLander-v3,actor_critic_gae,0,18000,-51.67183724044158,103.51075413485249
LunarLander-v3,actor_critic_gae,0,19000,-229.00805131941473,111.67048752324926
LunarLander-v3,actor_critic_gae,0,20000,-412.92221369932776,240.60000369400296
LunarLander-v3,actor_critic_gae,1,1000,-344.49440591104127,222.10874102403167
LunarLander-v3,actor_critic_gae,1,2000,-290.5771373526064,114.97978524218468
LunarLander-v3,actor_critic_gae,1,3000,-319.3716104369572,180.7447920756416
LunarLander-v3,actor_critic_gae,1,4000,-102.26664399974244,28.086896835303417
LunarLander-v3,actor_critic_gae,1,5000,-130.14202175604225,35.95350495543304
LunarLander-v3,actor_critic_gae,1,6000,-243.3070564816399,138.18023469877903
LunarLander-v3,actor_critic_gae,1,7000,-326.9411954880548,206.3281981861426
LunarLander-v3,actor_critic_gae,1,8000,-411.19328790712586,258.32581542948566
LunarLander-v3,actor_critic_gae,1,9000,-483.3629234965539,135.4734249523564
