env,algorithm,n_seeds,final_mean_return,final_ci95_low,final_ci95_high,final_std_return
LunarLander-v3,actor_critic_gae,3,-661.1478228067508,-950.3344159821872,-412.92221369932776,221.30118308539502
LunarLander-v3,ppo_vanilla,3,-96.73562123451529,-133.88848910620274,-40.4103455927024,40.49877976318641
LunarLander-v3,ppo_enhanced,3,-203.28555273760003,-306.6930524253779,-150.1323415430529,73.12972118988463
